id,tested_positive
730,7.8366566
731,8.97289
732,20.810799
733,6.9985566
734,21.151157
735,15.20931
736,5.876502
737,21.097725
738,6.6598315
739,24.259838
740,17.800957
741,17.343462
742,12.108538
743,23.97267
744,13.78769
745,12.865443
746,27.669498
747,29.77001
748,17.58676
749,7.834737
750,8.769074
751,23.96072
752,5.184933
753,10.951713
754,19.985521
755,20.453682
756,19.65192
757,16.632853
758,12.074562
759,9.906365
760,16.282202
761,10.562364
762,5.989812
763,24.533405
764,29.719168
765,22.124403
766,20.153975
767,7.558411
768,12.336778
769,13.354669
770,18.551552
771,12.3155985
772,24.485163
773,19.074694
774,5.305318
775,10.70263
776,23.405582
777,21.086235
778,17.262983
779,12.843869
780,22.55748
781,31.96069
782,17.563793
783,21.330097
784,10.264622
785,6.971928
786,6.482514
787,20.81018
788,21.849934
789,15.697095
790,19.83714
791,6.879961
792,11.86802
793,15.672449
794,11.230491
795,20.701832
796,13.428619
797,13.714005
798,7.0542336
799,16.197046
800,13.003865
801,9.618596
802,9.306013
803,13.37585
804,12.285865
805,22.639473
806,11.0332575
807,20.700705
808,21.297255
809,28.88253
810,14.637549
811,19.026045
812,14.256043
813,16.988792
814,7.9740167
815,4.968698
816,6.443798
817,16.680159
818,29.451975
819,9.421104
820,23.984764
821,16.415333
822,16.00073
823,18.72165
824,23.581982
825,6.46801
826,9.351323
827,19.935305
828,20.081867
829,15.93531
830,18.361996
831,6.366038
832,13.587997
833,11.853208
834,13.40729
835,28.409607
836,12.744849
837,17.776352
838,21.98725
839,18.650578
840,19.50862
841,37.390663
842,32.515896
843,19.1627
844,19.277576
845,8.442072
846,14.012287
847,17.528883
848,8.777015
849,14.349789
850,5.3004136
851,5.9097986
852,7.023676
853,10.019179
854,8.817632
855,24.237576
856,22.82943
857,21.925587
858,9.180164
859,14.417565
860,21.233955
861,20.051052
862,22.086983
863,22.185436
864,13.5097
865,6.685235
866,9.754077
867,9.958472
868,24.359295
869,23.665794
870,8.707762
871,11.575901
872,15.414737
873,33.544575
874,28.047497
875,18.750443
876,19.286573
877,11.641744
878,20.281101
879,16.983057
880,7.636938
881,13.506328
882,9.815112
883,13.862109
884,26.991364
885,15.031583
886,29.930464
887,19.634329
888,13.636056
889,5.1263685
890,31.87539
891,25.37775
892,18.744415
